,Irrelevant,Test,Train,Source,Year,Month,Day,FullDate,Pro,Neutral,Anti,Explicit,Implicit,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
same-sex_marriage1.0-3003,0,0,1,daily news,2005,2,6,20050206,0.737760967,0.192602253,0.06963678,0.018870317,0.981129683,0.001221261,0.004525976,0.001064118,0.007425193,0.669549363,0.002096559,0.00057446,0.001101713,0.000495249,0.028328622,0.0371108,0.006611216,0.238643976,0.001251494,0
same-sex_marriage1.0-3004,0,0,0,new york times,2005,2,6,20050206,0.79976625,0.127276224,0.072957527,0.039599752,0.960400248,0.005159776,0.003279445,0.021024384,0.008792439,0.056770933,0.003673187,0.010671574,0.001052909,0.001222737,0.014362704,0.740127695,0.057019678,0.038909051,0.037933489,0
same-sex_marriage1.0-3005,0,0,0,new york times,2005,2,6,20050206,0.715876741,0.242854271,0.041268988,0.003484031,0.996515969,0.005706055,0.000798096,0.012307881,0.00328689,0.398337751,0.000984158,0.001737424,0.001448355,0.002277066,0.017621094,0.011991761,0.002742607,0.539678082,0.001082782,0
same-sex_marriage1.0-3006,0,0,0,new york times,2005,2,6,20050206,0.742969872,0.162622362,0.094407766,0.059463387,0.940536613,0.020017569,0.001933192,0.053797155,0.031195142,0.144663345,0.008400182,0.028355152,0.002495784,0.001948864,0.022932408,0.056754286,0.025084414,0.594452129,0.007970377,0
same-sex_marriage1.0-3007,0,0,0,philadelphia inquirer,2005,2,6,20050206,0.395601429,0.254090577,0.350307994,0.005894257,0.994105743,0.004713668,0.001499432,0.010013356,0.011016631,0.768531315,0.002247764,0.044208299,0.002734851,0.003826118,0.094566985,0.003019281,0.020095691,0.027551029,0.00597558,0
same-sex_marriage1.0-3008,0,0,1,st. louis post-dispatch,2005,2,6,20050206,0.224721727,0.275710167,0.499568106,0.001604841,0.998395159,0.001030589,0.006636434,0.010620996,0.017832819,0.844416646,0.000880615,0.04873918,0.001105487,0.001331502,0.008942221,0.011233162,0.004341457,0.036577684,0.006311207,0
same-sex_marriage1.0-3009,1,0,0,st. petersburg times,2005,2,6,20050206,0.636463804,0.074242659,0.289293537,0.310167216,0.689832784,0.086379196,0.001027914,0.013477088,0.007934848,0.005604982,0.06541936,0.006626736,0.001155965,0.00395655,0.100480771,0.03738191,0.028893307,0.641017245,0.000644128,0
same-sex_marriage1.0-301,0,0,0,saint paul pioneer press,2003,11,25,20031125,0.339990153,0.16717263,0.492837217,0.854670188,0.145329812,0.001113364,0.000541681,0.095199743,0.066316614,0.59273486,0.032046609,0.000387728,0.000920385,0.000875735,0.035739364,0.00540847,0.111577351,0.05365849,0.003479604,0
same-sex_marriage1.0-3010,0,0,0,st. petersburg times,2005,2,6,20050206,0.503702688,0.241690695,0.254606617,0.039920403,0.960079597,0.006805545,0.000913004,0.003958525,0.028597233,0.877832541,0.003852018,0.002592955,0.000820979,0.001138049,0.017822643,0.030270231,0.01872257,0.00410132,0.002572386,0
same-sex_marriage1.0-3011,0,0,0,daily news,2005,2,5,20050205,0.750551349,0.163792574,0.085656077,0.082720649,0.917279351,0.004094598,0.001026515,0.002167451,0.058596626,0.664139733,0.012198933,0.006876307,0.000709825,0.00097933,0.155367979,0.052045899,0.033505838,0.005676889,0.002614078,0
same-sex_marriage1.0-3012,0,0,0,daily news,2005,2,5,20050205,0.704903299,0.147210727,0.147885974,0.033928082,0.966071918,0.000623327,0.000738263,0.048652436,0.011490916,0.908838345,0.001061606,0.008095189,0.000621519,0.000243888,0.01187864,0.00234548,0.00149933,0.003029758,0.000881304,0
same-sex_marriage1.0-3013,0,0,0,daily news,2005,2,5,20050205,0.439694362,0.328433171,0.231872467,0.047116331,0.952883669,0.010122264,0.003094058,0.001097426,0.001216472,0.166340581,0.000469679,0.003228371,0.001215026,0.000588631,0.000269184,0.000196637,0.002989621,0.802619447,0.006552602,0
same-sex_marriage1.0-3014,0,0,0,daily news,2005,2,5,20050205,0.308246588,0.370099057,0.321654355,0.044486621,0.955513379,0.00098035,0.000882156,0.002387356,0.011139974,0.601479733,0.000337122,0.00730719,0.000496845,0.000849634,0.000509332,0.003424314,0.011564429,0.357922336,0.00071923,0
same-sex_marriage1.0-3015,0,0,1,new york times,2005,2,5,20050205,0.704633641,0.117272952,0.178093407,0.007198704,0.992801296,0.000970211,0.00192492,0.000727691,0.024096185,0.864320196,0.006300793,0.00178409,0.000842948,0.00166903,0.001690026,0.009656623,0.028207786,0.048754684,0.009054815,0
same-sex_marriage1.0-3017,0,0,0,saint paul pioneer press,2005,2,5,20050205,0.782398215,0.146011166,0.071590619,0.002553642,0.997446358,0.002072774,0.000639771,0.001345338,0.004381721,0.972425471,0.001065118,0.002075464,0.000669456,0.000167609,0.001766008,0.006430201,0.004274623,0.001713549,0.000972899,0
same-sex_marriage1.0-3018,0,0,0,st. louis post-dispatch,2005,2,5,20050205,0.654616021,0.165049754,0.180334225,0.013838847,0.986161153,0.0007229,0.000943201,0.002412366,0.030876917,0.939004661,0.001777006,0.010026506,0.000634952,0.000606363,0.006583242,0.00131005,0.003337864,0.000358334,0.001405638,0
same-sex_marriage1.0-3019,0,0,0,washington post,2005,2,5,20050205,0.473590553,0.166129404,0.360280043,0.008352649,0.991647351,0.00049235,0.000756472,0.005168678,0.008537878,0.953856516,0.002941973,0.002248103,0.001034094,0.000860468,0.011825108,0.003865513,0.001881273,0.004808964,0.00172261,0
same-sex_marriage1.0-302,0,0,0,st. petersburg times,2003,11,25,20031125,0.568798294,0.181814552,0.249387154,0.977165563,0.022834437,0.006169058,0.001359447,0.232433767,0.067886251,0.440232699,0.013732986,0.003485064,0.000940044,0.000390974,0.010301662,0.136781657,0.079737233,0.003986846,0.00256231,0
same-sex_marriage1.0-3020,0,0,0,denver post,2005,2,4,20050204,0.336125853,0.186583737,0.477290409,0.729615671,0.270384329,0.001718224,0.000826927,0.019018425,0.006481875,0.073542794,0.013831572,0.000880743,0.004298228,0.002920809,0.000814484,0.002674295,0.033711464,0.83609638,0.003183781,0
same-sex_marriage1.0-3021,0,0,0,new york times,2005,2,3,20050203,0.338907859,0.189216277,0.471875863,0.074629278,0.925370722,0.017882285,0.010222531,0.03318648,0.018753775,0.075794321,0.166907623,0.005113393,0.000924263,0.007466836,0.011192049,0.011706287,0.119584387,0.49168434,0.029581432,0
same-sex_marriage1.0-3022,0,0,0,new york times,2005,2,3,20050203,0.371763081,0.368214923,0.260021997,0.075783795,0.924216205,0.00354969,0.004232189,0.008866581,0.004967973,0.504697478,0.000783917,0.374625567,0.000578149,0.002320624,0.001705383,0.001745522,0.004768154,0.085131443,0.002027329,0
same-sex_marriage1.0-3023,0,0,0,washington post,2005,2,3,20050203,0.338573914,0.399219804,0.262206282,0.00925711,0.99074289,0.002963742,0.000575272,0.000541101,0.000909684,0.40534734,0.001086367,0.183306399,0.000397795,0.000351066,0.002098308,0.000169585,0.001293403,0.397427151,0.003532788,0
same-sex_marriage1.0-3024,0,0,0,philadelphia inquirer,2005,2,2,20050202,0.163495138,0.157732405,0.678772458,0.002226416,0.997773584,0.016054261,0.007105666,0.163339906,0.001641408,0.175959919,0.008409086,0.045948684,0.006387341,0.010368712,0.042100179,0.058396333,0.086272421,0.371835609,0.006180475,0
same-sex_marriage1.0-3025,0,0,0,san jose mercury news,2005,2,2,20050202,0.176144446,0.3455908,0.478264754,0.009098549,0.990901451,0.001783781,0.000717597,0.510007779,0.008612335,0.002159458,0.001438922,0.000623249,0.00053327,0.000232904,0.002008658,0.070654513,0.370641131,0.027540629,0.003045773,0
same-sex_marriage1.0-3026,1,0,0,st. louis post-dispatch,2005,2,2,20050202,0.328891357,0.15231927,0.518789373,0.035485951,0.964514049,0.002576058,0.001252513,0.625942685,0.002415629,0.110222511,0.009941541,0.006553517,0.001047987,0.002543907,0.000294074,0.01010248,0.029379269,0.194507942,0.003219887,0
same-sex_marriage1.0-3027,0,0,1,palm beach post,2005,2,1,20050201,0.88913064,0.025792429,0.085076931,0.096662472,0.903337528,0.01223116,0.00243271,0.019259477,0.093204933,0.400349926,0.055448251,0.005379268,0.002474373,0.160537441,0.14889168,0.035792634,0.007966877,0.053501587,0.002529685,0
same-sex_marriage1.0-3028,0,0,0,washington post,2005,1,30,20050130,0.718302764,0.145436732,0.136260504,0.875961627,0.124038373,0.022183124,0.000858587,0.034376026,0.01959559,0.074324445,0.479343733,0.00080409,0.000772047,0.126222857,0.14881793,0.01327268,0.063218518,0.000875845,0.015334528,0
same-sex_marriage1.0-303,0,0,0,washington post,2003,11,25,20031125,0.604663918,0.273320066,0.122016016,0.857242047,0.142757953,0.023381178,0.001923616,0.154769896,0.017371941,0.115808817,0.005619213,0.006345268,0.001391667,0.007164153,0.05106184,0.221494509,0.053853142,0.328917261,0.0108975,0
same-sex_marriage1.0-3030,0,0,1,washington post,2005,1,28,20050128,0.186508412,0.206224257,0.607267331,0.011890664,0.988109336,0.004998036,0.000831121,0.008584534,0.003371075,0.000361956,0.002208095,0.000539527,0.000694386,0.001320866,0.000650081,0.00081481,0.313500202,0.651829761,0.010295551,0
same-sex_marriage1.0-3031,0,0,0,new york times,2005,1,26,20050126,0.387107597,0.156912306,0.455980098,0.118959092,0.881040908,0.004173689,0.008464171,0.047185585,0.003876311,0.748307072,0.025037473,0.02252293,0.000545638,0.003862648,0.020365555,0.012689331,0.036895751,0.015212968,0.050860878,0
same-sex_marriage1.0-3032,0,0,0,new york times,2005,1,26,20050126,0.400561881,0.125045514,0.474392605,0.016703178,0.983296822,0.028483365,0.000970848,0.015722212,0.001190873,0.000828718,0.003201624,0.006368988,0.001090073,0.001623537,0.020415699,0.052803461,0.282496649,0.581404217,0.003399737,0
same-sex_marriage1.0-3033,0,0,0,philadelphia inquirer,2005,1,26,20050126,0.616790267,0.081307461,0.301902272,0.082083797,0.917916203,0.001753448,0.000874981,0.01596597,0.000392334,0.706242313,0.057722008,0.003494431,0.000786789,0.000671086,0.028788308,0.021350881,0.149102983,0.000140062,0.012714405,0
same-sex_marriage1.0-3034,0,0,1,st. louis post-dispatch,2005,1,26,20050126,0.382119299,0.130042836,0.487837865,0.022309356,0.977690644,0.002496332,0.001011166,0.008314672,0.000930398,0.866003286,0.010957213,0.009514433,0.000699211,0.001110216,0.030791008,0.032565579,0.020820348,0.001999024,0.012787114,0
same-sex_marriage1.0-3035,0,0,1,denver post,2005,1,25,20050125,0.196942376,0.228615883,0.574441741,0.019141771,0.980858229,0.005386648,0.002945519,0.00149108,0.002712227,0.001926545,0.005244244,0.00253742,0.000624164,0.000554514,0.000414701,0.006715171,0.051086293,0.91750379,0.000857684,0
same-sex_marriage1.0-3036,0,0,1,new york times,2005,1,25,20050125,0.154921922,0.166268741,0.678809337,0.003773758,0.996226242,0.015514006,0.000545873,0.017638861,0.003342224,0.00030655,0.002880403,0.001780614,0.003790166,0.002246618,0.000323095,0.001753965,0.045333367,0.904262679,0.000281578,0
same-sex_marriage1.0-3037,0,0,0,san jose mercury news,2005,1,25,20050125,0.217856215,0.230457116,0.551686669,0.009699625,0.990300375,0.022987676,0.000728435,0.015075266,0.000766376,0.003606023,0.003902559,0.007702478,0.003786283,0.001724514,0.003181254,0.000604956,0.079047966,0.855564297,0.001321916,0
same-sex_marriage1.0-3038,0,0,0,washington post,2005,1,25,20050125,0.175072777,0.200257972,0.624669252,0.014128576,0.985871424,0.013354029,0.001100329,0.003211813,0.001673365,0.002160862,0.003824043,0.001654163,0.000653875,0.004940845,0.004169321,0.003445809,0.00251042,0.955973122,0.001328003,0
same-sex_marriage1.0-3039,0,0,0,philadelphia inquirer,2005,1,23,20050123,0.385420141,0.216382104,0.398197755,0.006507227,0.993492773,0.023964782,0.000505809,0.073784363,0.00674353,0.00388562,0.012330063,0.011606222,0.002463588,0.001212969,0.035978647,0.059869675,0.756700113,0.002845016,0.008109603,0
same-sex_marriage1.0-304,0,0,0,new york times,2003,11,24,20031124,0.418853542,0.272339632,0.308806825,0.046516661,0.953483339,0.17296417,0.001425141,0.04158719,0.016495246,0.028604712,0.030558341,0.068242263,0.003361264,0.008184273,0.014257415,0.2827493,0.232357757,0.091832157,0.007380771,0
same-sex_marriage1.0-3040,0,0,0,san jose mercury news,2005,1,23,20050123,0.506692029,0.223823836,0.269484135,0.006686256,0.993313744,0.011099232,0.002297474,0.220505943,0.003816686,0.232571345,0.002887979,0.011282715,0.004760148,0.001157628,0.003209307,0.03131934,0.393643893,0.052771667,0.028676643,0
same-sex_marriage1.0-3041,0,1,0,philadelphia inquirer,2005,1,22,20050122,0.719282753,0.153053495,0.127663752,0.002504304,0.997495696,0.044542366,0.001061357,0.023092206,0.248709442,0.400837827,0.01265366,0.001311163,0.000893521,0.000784272,0.161619427,0.08048238,0.010555277,0.003059907,0.010397196,0
same-sex_marriage1.0-3042,0,0,1,new york times,2005,1,20,20050120,0.352330358,0.19362188,0.454047762,0.062810881,0.937189119,0.002479829,0.007583535,0.010127424,0.007041657,0.832090089,0.0119608,0.038648262,0.001037433,0.015967734,0.020153685,0.006396082,0.020866249,0.016812954,0.008834268,0
same-sex_marriage1.0-3044,0,0,1,san jose mercury news,2005,1,20,20050120,0.284082797,0.213654497,0.502262706,0.021244688,0.978755312,0.003617168,0.001425375,0.010631748,0.006777799,0.855259026,0.003364529,0.036521107,0.001609851,0.010024873,0.027785849,0.003908173,0.024497373,0.009151776,0.005425352,0
same-sex_marriage1.0-3045,0,0,1,st. petersburg times,2005,1,20,20050120,0.339164754,0.225100808,0.435734437,0.03559188,0.96440812,0.001084919,0.001119337,0.021021335,0.00562365,0.908062527,0.004916543,0.001256897,0.001140358,0.000840131,0.011878067,0.003381621,0.000909607,0.000141047,0.038623961,0
same-sex_marriage1.0-3046,1,0,0,san jose mercury news,2005,1,19,20050119,0.309227584,0.247621947,0.443150469,0.241974068,0.758025932,0.029794564,0.014710095,0.027452349,0.017002622,0.00489514,0.174889328,0.041351469,0.001688349,0.001186723,0.006706311,0.001162797,0.082049862,0.591869504,0.005240887,0
same-sex_marriage1.0-3047,0,0,0,washington post,2005,1,19,20050119,0.140487823,0.29598027,0.563531907,0.016919093,0.983080907,0.002094891,0.000570811,0.003906901,0.001241648,0.009384048,0.00313918,0.000935622,0.001687171,0.00086084,0.001395928,0.001695175,0.013996814,0.947055845,0.012035126,0
same-sex_marriage1.0-3048,0,0,1,washington post,2005,1,18,20050118,0.326589734,0.25552699,0.417883275,0.433821056,0.566178944,0.010017435,0.000629883,0.015996458,0.005784904,0.030556351,0.00163488,0.000905559,0.000995852,0.00044036,0.004470515,0.007836945,0.003840548,0.915951467,0.000938843,0
same-sex_marriage1.0-3049,0,0,1,new york times,2005,1,17,20050117,0.223005589,0.139704716,0.637289695,0.044512839,0.955487161,0.001896687,0.001115619,0.020022522,0.005548839,0.025997181,0.124890117,0.006633532,0.000880273,0.002548497,0.00058085,0.002302406,0.004712248,0.800272974,0.002598255,0
same-sex_marriage1.0-305,0,1,0,new york times,2003,11,24,20031124,0.526743697,0.400731714,0.072524588,0.21536056,0.78463944,0.025602418,0.000783929,0.033861278,0.020399029,0.035904767,0.076199483,0.001736282,0.001239401,0.000669093,0.049926366,0.042799544,0.683733571,0.022534538,0.004610302,0
same-sex_marriage1.0-3050,0,0,0,washington post,2005,1,17,20050117,0.597766955,0.278497497,0.123735548,0.025627133,0.974372867,0.011212973,0.001546776,0.065742724,0.033343559,0.010264242,0.112772038,0.002628957,0.005344007,0.000408521,0.041364719,0.046826939,0.026573802,0.637942323,0.00402842,0
same-sex_marriage1.0-3051,0,0,1,st. louis post-dispatch,2005,1,16,20050116,0.751927807,0.171150219,0.076921974,0.001179905,0.998820095,0.023650697,0.005213997,0.016982679,0.00904826,0.206550042,0.002568373,0.000962746,0.000889452,0.00086525,0.567705491,0.049331447,0.023223034,0.087068416,0.005940115,0
same-sex_marriage1.0-3052,0,0,0,atlanta journal and constitution,2005,1,15,20050115,0.395575303,0.153300208,0.451124489,0.007224504,0.992775496,0.002572711,0.001569875,0.085032876,0.057583504,0.466934034,0.004281481,0.003571098,0.003252632,0.000511487,0.00073805,0.007102871,0.080803401,0.282742224,0.003303754,0
same-sex_marriage1.0-3053,0,0,0,new york times,2005,1,14,20050114,0.405508041,0.183298646,0.411193313,0.007753759,0.992246241,0.008428333,0.000762597,0.933061582,0.0117965,0.002087366,0.006872816,0.002328586,0.001368151,0.00177525,0.00387205,0.002359687,0.022780839,0.000818712,0.001687533,0
same-sex_marriage1.0-3054,0,0,0,new york times,2005,1,14,20050114,0.710775859,0.105358229,0.183865912,0.05568466,0.94431534,0.005476844,0.00085304,0.853880773,0.008099354,0.007401733,0.057821579,0.012253831,0.000589868,0.001818918,0.03669747,0.001648552,0.011891685,0.000502643,0.001063709,0
same-sex_marriage1.0-3055,0,0,1,san jose mercury news,2005,1,14,20050114,0.45318554,0.153069047,0.393745413,0.069840996,0.930159004,0.003594411,0.000596962,0.921925582,0.005288122,0.014267299,0.0036015,0.001235081,0.00062466,0.00276559,0.005724286,0.007934685,0.025093936,0.006741503,0.000606384,0
same-sex_marriage1.0-3057,0,0,0,washington post,2005,1,14,20050114,0.335965198,0.258528742,0.40550606,0.179749844,0.820250156,0.010091204,0.000435284,0.005731614,0.003059616,0.225695079,0.148634292,0.004920198,0.000381047,0.001365367,0.000500575,0.000331516,0.015236318,0.53460995,0.049007941,0
same-sex_marriage1.0-3058,0,0,0,washington post,2005,1,14,20050114,0.565951136,0.273739932,0.160308932,0.008338291,0.991661709,0.005679334,0.001798567,0.005269749,0.217845671,0.117840145,0.263208734,0.00499049,0.00157446,0.004410257,0.002585585,0.00117738,0.043458522,0.325870231,0.004290873,0
same-sex_marriage1.0-3059,0,0,0,washington post,2005,1,14,20050114,0.440901882,0.228196374,0.330901744,0.022837671,0.977162329,0.003019752,0.000671732,0.892898243,0.002541185,0.000805917,0.007432226,0.00072557,0.000604026,0.002445866,0.013811221,0.047190316,0.00867302,0.018442966,0.00073796,0
same-sex_marriage1.0-306,0,0,1,palm beach post,2003,11,24,20031124,0.55584783,0.307175081,0.136977088,0.899885323,0.100114677,0.001884437,0.001064557,0.632395401,0.06169468,0.043430499,0.002625765,0.001814741,0.003426331,0.000642908,0.178888732,0.025054146,0.012307444,0.033770824,0.000999535,0
same-sex_marriage1.0-3060,0,0,0,new york times,2005,1,11,20050111,0.129104617,0.11900804,0.751887343,0.008278869,0.991721131,0.008311552,0.000587264,0.845941456,0.001058682,0.071872595,0.003557044,0.009139321,0.001132172,0.002422695,0.00129948,0.004944749,0.016348111,0.032173267,0.001211613,0
same-sex_marriage1.0-3061,0,0,0,st. louis post-dispatch,2005,1,11,20050111,0.526381685,0.09048127,0.383137045,0.028760012,0.971239988,0.024524556,0.001493806,0.550188231,0.015575478,0.007285418,0.004171013,0.018904708,0.000912285,0.004432058,0.026771613,0.020405091,0.085752809,0.231504228,0.008078705,0
same-sex_marriage1.0-3062,1,0,0,st. petersburg times,2005,1,11,20050111,0.502461344,0.096366394,0.401172262,0.011277942,0.988722058,0.033896423,0.000740613,0.662781221,0.003552539,0.018230925,0.015505237,0.00853497,0.000832874,0.003917234,0.007397471,0.015522183,0.075135817,0.150017968,0.003934526,0
same-sex_marriage1.0-3064,0,0,1,washington post,2005,1,11,20050111,0.076262662,0.199556023,0.724181315,0.016873569,0.983126431,0.000730422,0.000625592,0.003392871,0.00205117,0.160426583,0.032517735,0.001314895,0.000566005,0.000323335,0.000594843,0.000388211,0.004625985,0.788212359,0.004229993,0
same-sex_marriage1.0-3065,0,0,1,atlanta journal and constitution,2005,1,10,20050110,0.231801003,0.227864629,0.540334368,0.019744714,0.980255286,0.001936316,0.000635007,0.325379906,0.00697004,0.001064378,0.000560347,0.014553892,0.000819805,0.005773456,0.003216742,0.016496815,0.015632212,0.604197021,0.002764063,0
same-sex_marriage1.0-3066,0,0,0,atlanta journal and constitution,2005,1,7,20050107,0.806573174,0.12174967,0.071677156,0.661697238,0.338302762,0.001093306,0.000929482,0.217931514,0.597037788,0.000453756,0.010307543,0.001218126,0.000696105,0.002120081,0.010528605,0.009360725,0.121197437,0.025825935,0.001299598,0
same-sex_marriage1.0-3067,0,0,1,new york times,2005,1,6,20050106,0.593316372,0.10807616,0.298607469,0.001210444,0.998789556,0.060888449,0.001121465,0.002281806,0.004707841,0.004173287,0.061001386,0.066982823,0.000775482,0.394521991,0.240181546,0.00065383,0.027608216,0.132447908,0.00265397,0
same-sex_marriage1.0-3068,0,0,1,saint paul pioneer press,2005,1,4,20050104,0.437207291,0.220507812,0.342284897,0.015886586,0.984113414,0.019398318,0.000945346,0.018306711,0.025114892,0.877989981,0.000380738,0.003900651,0.000908094,0.00139676,0.030875812,0.005680379,0.004481641,0.007374206,0.003246472,0
same-sex_marriage1.0-3069,0,0,1,san jose mercury news,2005,1,2,20050102,0.746389813,0.075267258,0.178342929,0.077296647,0.922703353,0.003821477,0.000989315,0.00543924,0.010913195,0.820571909,0.036242595,0.001513941,0.000692516,0.002126252,0.090384642,0.000546866,0.012037324,0.012765188,0.00195554,0
same-sex_marriage1.0-307,0,0,0,saint paul pioneer press,2003,11,24,20031124,0.42833325,0.315606105,0.256060645,0.297444715,0.702555285,0.006020012,0.000489924,0.009509075,0.004736867,0.017242222,0.016922971,0.001232721,0.000550956,0.001454027,0.004688839,0.007365183,0.744560671,0.183221857,0.002004675,0
same-sex_marriage1.0-3071,0,0,1,washington post,2005,1,1,20050101,0.644613816,0.245655388,0.109730796,0.551071081,0.448928919,0.01196557,0.000885236,0.011162795,0.003282168,0.045665174,0.317602782,0.000846149,0.000844844,0.004881027,0.01157998,0.008087982,0.147800694,0.434428331,0.000967268,0
same-sex_marriage1.0-3072,0,0,0,saint paul pioneer press,2006,6,30,20060630,0.884988219,0.045528169,0.069483612,0.000203937,0.999796063,0.183019426,0.00681897,0.043577492,0.046023909,0.002069767,0.009606477,0.005649,0.00220263,0.243537989,0.331792442,0.024939843,0.068315722,0.021307529,0.011138805,0
same-sex_marriage1.0-3073,0,0,1,washington post,2006,6,30,20060630,0.898138145,0.032622761,0.069239095,0.021900726,0.978099274,0.395482825,0.000654206,0.002908644,0.088228936,0.001290483,0.002592743,0.001320202,0.000920646,0.179127565,0.26229608,0.039722436,0.018801508,0.0058517,0.000802027,0
same-sex_marriage1.0-3074,0,0,0,usa today,2006,6,29,20060629,0.905266755,0.029185403,0.065547843,0.004841087,0.995158913,0.5311841,0.000593957,0.003195862,0.101801879,0.00221196,0.04464045,0.000650868,0.001432214,0.066369834,0.174727461,0.047407794,0.02027668,0.003858268,0.001648674,0
same-sex_marriage1.0-3075,0,0,0,atlanta journal and constitution,2006,6,28,20060628,0.151846423,0.35396829,0.494185287,0.00201086,0.99798914,0.000758383,0.003231527,0.003638605,0.008182896,0.940775479,0.002126451,0.003115861,0.000977119,0.000583759,0.000932473,0.001990117,0.007572793,0.018449351,0.007665186,0
same-sex_marriage1.0-3076,0,1,0,saint paul pioneer press,2006,6,28,20060628,0.095273441,0.397948814,0.506777745,0.007599033,0.992400967,0.00409083,0.006037758,0.005727384,0.002104288,0.53107979,0.008386898,0.000544992,0.000457299,0.003342238,0.000851931,0.001364264,0.028671989,0.404896094,0.002444247,0
same-sex_marriage1.0-3077,0,0,1,atlanta journal and constitution,2006,6,27,20060627,0.604511794,0.281182686,0.11430552,0.004268928,0.995731072,0.001049723,0.004969323,0.000496654,0.00199784,0.839930221,0.002116882,0.00227487,0.000905289,0.000879742,0.003103529,0.001093698,0.07116831,0.06763948,0.002374439,0
same-sex_marriage1.0-3078,0,0,1,daily news,2006,6,26,20060626,0.704055885,0.184488374,0.111455741,0.283228022,0.716771978,0.009152098,0.000531725,0.000890852,0.0029943,0.004747434,0.001597118,0.001435337,0.001288995,0.000792557,0.05550289,0.077411049,0.057108983,0.785236988,0.001309675,0
same-sex_marriage1.0-3079,0,0,1,saint paul pioneer press,2006,6,26,20060626,0.650445429,0.197848466,0.151706106,0.037783551,0.962216449,0.002085591,0.002831037,0.097751791,0.11816737,0.029599886,0.011220704,0.00086203,0.002332733,0.009429346,0.053980562,0.406307203,0.050340972,0.169722383,0.045368392,0
same-sex_marriage1.0-308,0,0,0,washington post,2003,11,24,20031124,0.717417492,0.13325151,0.149330997,0.56558003,0.43441997,0.003320587,0.002981684,0.02192195,0.07710833,0.003771918,0.02187446,0.006398543,0.00147745,0.009880752,0.438916551,0.22583888,0.086324357,0.097950185,0.002234353,0
same-sex_marriage1.0-3080,0,0,0,new york times,2006,6,25,20060625,0.775030792,0.100065288,0.12490392,0.078716848,0.921283152,0.038341171,0.002338016,0.040152002,0.018623994,0.108286656,0.020318468,0.015877147,0.001878995,0.001388598,0.126228686,0.541562018,0.009344865,0.054736515,0.020922869,0
same-sex_marriage1.0-3081,0,0,1,atlanta journal and constitution,2006,6,23,20060623,0.402316856,0.23330243,0.364380714,0.000397844,0.999602156,0.001383019,0.000675607,0.003028073,0.013789788,0.937622717,0.00521117,0.00166018,0.000706954,0.000141902,0.003944706,0.002275412,0.019582817,0.00828407,0.001693587,0
same-sex_marriage1.0-3082,0,0,0,denver post,2006,6,23,20060623,0.693765843,0.154009817,0.15222434,0.987453571,0.012546429,0.020029712,0.000983285,0.645497232,0.006778756,0.052464423,0.119994453,0.004573908,0.001577866,0.003422217,0.013508954,0.022681846,0.019421862,0.083277447,0.005788039,0
same-sex_marriage1.0-3083,0,0,0,philadelphia inquirer,2006,6,22,20060622,0.231555809,0.185617979,0.582826212,0.000533822,0.999466178,0.001090685,0.002807377,0.006635097,0.000539573,0.285508544,0.014030433,0.000562729,0.000475983,0.001594346,0.003770084,0.005617282,0.000652476,0.674803008,0.001912381,0
same-sex_marriage1.0-3084,0,0,0,atlanta journal and constitution,2006,6,21,20060621,0.229856526,0.323857842,0.446285632,0.036229416,0.963770584,0.133220937,0.000757482,0.028582214,0.00063939,0.000864958,0.007367542,0.023125466,0.001123113,0.010871262,0.003262694,0.014308732,0.018414439,0.755511534,0.001950237,0
same-sex_marriage1.0-3085,0,0,1,atlanta journal and constitution,2006,6,21,20060621,0.534234762,0.094232734,0.371532504,0.024062021,0.975937979,0.000936193,0.000755282,0.004671367,0.008575631,0.881979528,0.002839338,0.002877867,0.00063195,0.001342961,0.002262431,0.001521986,0.024602486,0.057998754,0.009004227,0
same-sex_marriage1.0-3086,0,0,0,denver post,2006,6,18,20060618,0.613069519,0.097952393,0.288978088,0.926880459,0.073119541,0.003375694,0.001347823,0.735054367,0.005049345,0.012269862,0.010217796,0.00067832,0.000952802,0.001134679,0.01503684,0.041285544,0.162280313,0.009808452,0.001508162,0
same-sex_marriage1.0-3087,0,0,1,new york times,2006,6,18,20060618,0.817448456,0.05360475,0.128946794,0.473630188,0.526369812,0.054806649,0.000423079,0.026020319,0.031124029,0.010519996,0.010320718,0.005551139,0.000668892,0.001519419,0.522156013,0.309738403,0.013683626,0.004091681,0.009376037,0
same-sex_marriage1.0-3088,0,0,1,philadelphia inquirer,2006,6,18,20060618,0.766212487,0.088821743,0.144965769,0.727679333,0.272320667,0.161215346,0.003140033,0.287966389,0.106735619,0.05097844,0.003477444,0.001735059,0.000901682,0.001770705,0.051588056,0.048115143,0.019768859,0.256962515,0.00564471,0
same-sex_marriage1.0-3089,0,0,0,philadelphia inquirer,2006,6,16,20060616,0.617156486,0.14218091,0.240662604,0.955650465,0.044349535,0.001169462,0.00072563,0.558295678,0.007071907,0.037538242,0.111346057,0.004150012,0.000682664,0.002953869,0.014937762,0.214762651,0.009969858,0.030600761,0.005795447,0
